%time Wind Power_wind
0 10.45141 0
0.001 10.45141 14787.1938495
0.002 10.45141 7716.12827033
0.003 10.45141 7716.17436707
0.004 10.45141 7716.27547095
0.005 10.45141 7716.43160249
0.006 10.45141 7716.66987918
0.007 10.45141 7717.01723614
0.008 10.45141 7717.47301222
0.009 10.45141 7718.03624352
0.01 10.45141 7718.70573917
0.011 10.45141 7719.48016829
0.012 10.45141 7720.35806122
0.013 10.45141 7721.3378129
0.014 10.45141 7722.41768596
0.015 10.45141 7723.59581399
0.016 10.45141 7724.87020472
0.017 10.45141 7726.23874336
0.018 10.45141 7727.69919594
0.019 10.45141 7729.24921272
0.02 10.45141 7730.88633168
0.021 10.45141 7732.60798208
0.022 10.45141 7734.41148811
0.023 10.45141 7736.29407263
0.024 10.45141 7738.25286099
0.025 10.45141 7740.28488495
0.026 10.45141 7742.38708675
0.027 10.45141 7744.55632323
0.028 10.45141 7746.78937009
0.029 10.45141 7749.08292629
0.03 10.45141 7751.43361854
0.031 10.45141 7753.83800593
0.032 10.45141 7756.29258466
0.033 10.45141 7758.79379295
0.034 10.45141 7761.338016
0.035 10.45141 7763.92159114
0.036 10.45141 7766.54081305
0.037 10.45141 7769.19193914
0.038 10.45141 7771.87119501
0.039 10.45141 7774.57478003
0.04 10.45141 7777.29887303
0.041 10.45141 7780.03963807
0.042 10.45141 7782.79323028
0.043 10.45141 7785.55580185
0.044 10.45141 7788.32350797
0.045 10.45141 7791.09251297
0.046 10.45141 7793.85899634
0.047 10.45141 7796.61915893
0.048 10.45141 7799.36922909
0.049 10.45141 7802.10546882
0.05 10.45141 7804.82417994
0.051 10.45141 7807.52171021
0.052 10.45141 7810.19445941
0.053 10.45141 7812.83888542
0.054 10.45141 7815.45151013
0.055 10.45141 7818.02892535
0.056 10.45141 7820.56779856
0.057 10.45141 7823.06487862
0.058 10.45141 7825.51700125
0.059 10.45141 7827.92109441
0.06 10.45141 7830.2741835
0.061 10.45141 7832.57339642
0.062 10.45141 7834.81596835
0.063 10.45141 7836.99924644
0.064 10.45141 7839.1206941
0.065 10.45141 7841.17789528
0.066 10.45141 7843.16855829
0.067 10.45141 7845.09051947
0.068 10.45141 7846.94174659
0.069 10.45141 7848.72034194
0.07 10.45141 7850.42454508
0.071 10.45141 7852.05273545
0.072 10.45141 7853.60343447
0.073 10.45141 7855.07530749
0.074 10.45141 7856.46716537
0.075 10.45141 7857.77796569
0.076 10.45141 7859.00681375
0.077 10.45141 7860.15296314
0.078 10.45141 7861.21581606
0.079 10.45141 7862.19492327
0.08 10.45141 7863.08998379
0.081 10.45141 7863.90084417
0.082 10.45141 7864.62749759
0.083 10.45141 7865.27008253
0.084 10.45141 7865.82888124
0.085 10.45141 7866.30431783
0.086 10.45141 7866.69695615
0.087 10.45141 7867.00749732
0.088 10.45141 7867.23677712
0.089 10.45141 7867.38576297
0.09 10.45141 7867.45555078
0.091 10.45141 7867.44736152
0.092 10.45141 7867.36253763
0.093 10.45141 7867.2025391
0.094 10.45141 7866.96893952
0.095 10.45141 7866.66342185
0.096 10.45141 7866.28777403
0.097 10.45141 7865.84388449
0.098 10.45141 7865.33373748
0.099 10.45141 7864.75940833
0.1 10.45141 7864.12305854
0.101 10.45141 7863.42693085
0.102 10.45141 7862.67334418
0.103 10.45141 7861.86468854
0.104 10.45141 7861.00341988
0.105 10.45141 7860.09205492
0.106 10.45141 7859.13316593
0.107 10.45141 7858.12937558
0.108 10.45141 7857.08335169
0.109 10.45141 7855.99780206
0.11 10.45141 7854.87546938
0.111 10.45141 7853.71912606
0.112 10.45141 7852.53156924
0.113 10.45141 7851.31561575
0.114 10.45141 7850.07409727
0.115 10.45141 7848.80985544
0.116 10.45141 7847.52573718
0.117 10.45141 7846.22459002
0.118 10.45141 7844.90925758
0.119 10.45141 7843.58257518
0.12 10.45141 7842.24736551
0.121 10.45141 7840.90643449
0.122 10.45141 7839.5625672
0.123 10.45141 7838.21852401
0.124 10.45141 7836.87703678
0.125 10.45141 7835.54080524
0.126 10.45141 7834.21249353
0.127 10.45141 7832.89472679
0.128 10.45141 7831.59008803
0.129 10.45141 7830.30111504
0.13 10.45141 7829.03029749
0.131 10.45141 7827.7800742
0.132 10.45141 7826.55283048
0.133 10.45141 7825.35089566
0.134 10.45141 7824.17654083
0.135 10.45141 7823.03197656
0.136 10.45141 7821.91935094
0.137 10.45141 7820.84074759
0.138 10.45141 7819.79818396
0.139 10.45141 7818.79360962
0.14 10.45141 7817.82890479
0.141 10.45141 7816.90587892
0.142 10.45141 7816.02626944
0.143 10.45141 7815.1917406
0.144 10.45141 7814.40388241
0.145 10.45141 7813.66420976
0.146 10.45141 7812.97416156
0.147 10.45141 7812.33510006
0.148 10.45141 7811.74831019
0.149 10.45141 7811.21499908
0.15 10.45141 7810.73629562
0.151 10.45141 7810.31325012
0.152 10.45141 7809.94683407
0.153 10.45141 7809.63793993
0.154 10.45141 7809.38738111
0.155 10.45141 7809.19589189
0.156 10.45141 7809.06412752
0.157 10.45141 7808.99266432
0.158 10.45141 7808.9819999
0.159 10.45141 7809.03255341
0.16 10.45141 7809.14466586
0.161 10.45141 7809.31860053
0.162 10.45141 7809.55454337
0.163 10.45141 7809.85260354
0.164 10.45141 7810.21281393
0.165 10.45141 7810.63513179
0.166 10.45141 7811.11943941
0.167 10.45141 7811.66554476
0.168 10.45141 7812.27318234
0.169 10.45141 7812.94201392
0.17 10.45141 7813.67162943
0.171 10.45141 7814.46154789
0.172 10.45141 7815.31121829
0.173 10.45141 7816.22002066
0.174 10.45141 7817.1872671
0.175 10.45141 7818.21220286
0.176 10.45141 7819.29400749
0.177 10.45141 7820.43179602
0.178 10.45141 7821.62462023
0.179 10.45141 7822.87146987
0.18 10.45141 7824.17127407
0.181 10.45141 7825.52290262
0.182 10.45141 7826.92516749
0.183 10.45141 7828.37682424
0.184 10.45141 7829.87657359
