%time Wind Power_wind
0 10.034122289 0
1 10.034122289 16758.8196961
2 10.034122289 8744.92426754
3 10.034122289 8744.92431978
4 10.034122289 8744.92443433
5 10.034122289 8744.92461121
6 10.034122289 8744.92488117
7 10.034122289 8744.92527484
8 10.034122289 8744.92579166
9 10.034122289 8744.92643084
10 10.034122289 8744.92719143
11 10.034122289 8744.92807247
12 10.034122289 8744.92907293
13 10.034122289 8744.93019174
14 10.034122289 8744.93142782
15 10.034122289 8744.93278
16 10.034122289 8744.93424711
17 10.034122289 8744.93582792
18 10.034122289 8744.93752116
19 10.034122289 8744.93932552
20 10.034122289 8744.94123967
21 10.034122289 8744.94326223
22 10.034122289 8744.94539179
23 10.034122289 8744.94762688
24 10.034122289 8744.94996603
25 10.034122289 8744.95240771
26 10.034122289 8744.95495038
27 10.034122289 8744.95759245
28 10.034122289 8744.96033231
29 10.034122289 8744.9631683
30 10.034122289 8744.96609875
31 10.034122289 8744.96912196
32 10.034122289 8744.97223619
33 10.034122289 8744.97543968
34 10.034122289 8744.97873065
35 10.034122289 8744.98210728
36 10.034122289 8744.98556773
37 10.034122289 8744.98911014
38 10.034122289 8744.99273264
39 10.034122289 8744.9964333
40 10.034122289 8745.00021022
41 10.034122289 8745.00406143
42 10.034122289 8745.00798498
43 10.034122289 8745.01197888
44 10.034122289 8745.01604112
45 10.034122289 8745.02016969
46 10.034122289 8745.02436256
47 10.034122289 8745.02861767
48 10.034122289 8745.03293296
49 10.034122289 8745.03730636
50 10.034122289 8745.04173578
51 10.034122289 8745.04621912
52 10.034122289 8745.05075427
53 10.034122289 8745.05533911
54 10.034122289 8745.05997152
55 10.034122289 8745.06464936
56 10.034122289 8745.0693705
57 10.034122289 8745.07413278
58 10.034122289 8745.07893405
59 10.034122289 8745.08377217
60 10.034122289 8745.08864497
61 10.034122289 8745.0935503
62 10.034122289 8745.09848598
63 10.034122289 8745.10344987
64 10.034122289 8745.10843981
65 10.034122289 8745.11345362
66 10.034122289 8745.11848916
67 10.034122289 8745.12354427
68 10.034122289 8745.12861681
69 10.034122289 8745.13370463
70 10.034122289 8745.13880558
71 10.034122289 8745.14391755
72 10.034122289 8745.1490384
73 10.034122289 8745.15416601
74 10.034122289 8745.15929829
75 10.034122289 8745.16443313
76 10.034122289 8745.16956844
77 10.034122289 8745.17470215
78 10.034122289 8745.1798322
79 10.034122289 8745.18495653
80 10.034122289 8745.19007311
81 10.034122289 8745.19517992
82 10.034122289 8745.20027494
83 10.034122289 8745.2053562
84 10.034122289 8745.21042171
85 10.034122289 8745.21546951
86 10.034122289 8745.22049767
87 10.034122289 8745.22550426
88 10.034122289 8745.23048739
89 10.034122289 8745.23544518
90 10.034122289 8745.24037575
91 10.034122289 8745.24527729
92 10.034122289 8745.25014795
93 10.034122289 8745.25498596
94 10.034122289 8745.25978954
95 10.034122289 8745.26455695
96 10.034122289 8745.26928645
97 10.034122289 8745.27397635
98 10.034122289 8745.27862498
99 10.034122289 8745.28323069
100 10.034122289 8745.28779187
101 10.034122289 8745.2923069
102 10.034122289 8745.29677424
103 10.034122289 8745.30119234
104 10.034122289 8745.30555968
105 10.034122289 8745.3098748
106 10.034122289 8745.31413624
107 10.034122289 8745.31834257
108 10.034122289 8745.32249241
109 10.034122289 8745.32658439
110 10.034122289 8745.33061718
111 10.034122289 8745.33458949
112 10.034122289 8745.33850004
113 10.034122289 8745.3423476
114 10.034122289 8745.34613097
115 10.034122289 8745.34984897
116 10.034122289 8745.35350047
117 10.034122289 8745.35708437
118 10.034122289 8745.36059958
119 10.034122289 8745.36404508
120 10.034122289 8745.36741986
121 10.034122289 8745.37072294
122 10.034122289 8745.3739534
123 10.034122289 8745.37711034
124 10.034122289 8745.38019288
125 10.034122289 8745.38320019
126 10.034122289 8745.38613148
127 10.034122289 8745.38898599
128 10.034122289 8745.39176299
129 10.034122289 8745.39446179
130 10.034122289 8745.39708173
131 10.034122289 8745.39962219
132 10.034122289 8745.40208259
133 10.034122289 8745.40446239
134 10.034122289 8745.40676105
135 10.034122289 8745.40897811
136 10.034122289 8745.41111313
137 10.034122289 8745.41316569
138 10.034122289 8745.41513543
139 10.034122289 8745.417022
140 10.034122289 8745.41882512
141 10.034122289 8745.42054451
142 10.034122289 8745.42217993
143 10.034122289 8745.42373121
144 10.034122289 8745.42519817
145 10.034122289 8745.4265807
146 10.034122289 8745.4278787
147 10.034122289 8745.42909211
148 10.034122289 8745.43022091
149 10.034122289 8745.43126513
