%time Wind Power_wind
0 10.45141 0
1 10.45141 53568.9652319
2 10.45141 52145.0147191
3 10.45141 49969.3396033
4 10.45141 49401.6459694
5 10.45141 50996.3298302
6 10.45141 52972.947268
7 10.45141 52992.3147551
8 10.45141 51345.0695509
9 10.45141 49942.5521036
10 10.45141 50135.9089788
11 10.45141 51702.0478764
12 10.45141 52886.5433277
13 10.45141 52409.9427809
14 10.45141 51007.8041923
15 10.45141 50169.4482876
16 10.45141 50683.0172469
17 10.45141 51989.9875565
18 10.45141 52638.8912366
19 10.45141 51998.3204146
20 10.45141 50885.6663308
21 10.45141 50438.429
22 10.45141 51064.7630325
23 10.45141 52081.6383347
24 10.45141 52376.8424759
25 10.45141 51713.3071588
26 10.45141 50869.7395883
27 10.45141 50692.0486279
28 10.45141 51324.5482255
29 10.45141 52075.5783676
30 10.45141 52140.5613009
31 10.45141 51521.3632281
32 10.45141 50910.5276445
33 10.45141 50912.7069765
34 10.45141 51494.1031533
35 10.45141 52019.8045754
36 10.45141 51941.4937093
37 10.45141 51399.1996905
38 10.45141 50980.95565
39 10.45141 51095.1439755
40 10.45141 51596.7305796
41 10.45141 51941.0040778
42 10.45141 51781.4491439
43 10.45141 51329.1127561
44 10.45141 51064.0144405
45 10.45141 51239.4226317
46 10.45141 51650.6599825
47 10.45141 51855.2398154
48 10.45141 51658.1208317
49 10.45141 51296.8409033
50 10.45141 51148.5392229
51 10.45141 51348.5324494
52 10.45141 51670.4759399
53 10.45141 51772.2586588
54 10.45141 51567.2246582
55 10.45141 51290.7892026
56 10.45141 51227.4479709
57 10.45141 51427.0757234
58 10.45141 51667.7070247
59 10.45141 51697.6347672
60 10.45141 51503.6254415
61 10.45141 51301.7119833
62 10.45141 51296.6980597
63 10.45141 51480.3372926
64 10.45141 51651.2016808
65 10.45141 51634.0920877
66 10.45141 51462.0363373
67 10.45141 51322.4831371
68 10.45141 51354.4816607
69 10.45141 51513.6218404
70 10.45141 51627.4942793
71 10.45141 51582.4339673
72 10.45141 51437.4627464
73 10.45141 51347.8445996
74 10.45141 51400.5534955
75 10.45141 51531.8238807
76 10.45141 51601.1891891
77 10.45141 51542.2285542
78 10.45141 51425.4644673
79 10.45141 51374.1224832
80 10.45141 51435.6781672
81 10.45141 51539.1891752
82 10.45141 51575.3417087
83 10.45141 51512.3148668
84 10.45141 51422.2841673
85 10.45141 51398.9300341
86 10.45141 51461.1967281
87 10.45141 51539.2193372
88 10.45141 51551.8115228
89 10.45141 51491.1682971
90 10.45141 51424.8801493
91 10.45141 51420.8800949
92 10.45141 51478.7056996
93 10.45141 51534.6738758
94 10.45141 51531.5728987
95 10.45141 51477.1547064
96 10.45141 51430.8944939
97 10.45141 51439.3245717
98 10.45141 51489.8345699
99 10.45141 51527.6319201
100 10.45141 51514.9746911
101 10.45141 51468.6973008
102 10.45141 51438.5815414
103 10.45141 51454.1313474
104 10.45141 51496.1039378
105 10.45141 51519.5852324
106 10.45141 51501.9496526
107 10.45141 51464.3768475
108 10.45141 51446.7160117
109 10.45141 51465.5027371
110 10.45141 51498.8458377
111 10.45141 51511.5426678
112 10.45141 51492.1765291
113 10.45141 51462.9826057
114 10.45141 51454.4949255
115 10.45141 51473.8348015
116 10.45141 51499.1692829
117 10.45141 51504.1331776
118 10.45141 51485.2005832
119 10.45141 51463.5283846
120 10.45141 51461.4430315
121 10.45141 51479.6137264
122 10.45141 51497.9566496
123 10.45141 51497.6996771
124 10.45141 51480.519094
125 10.45141 51465.2453733
126 10.45141 51467.327751
127 10.45141 51483.3438022
128 10.45141 51495.8794501
129 10.45141 51492.3798543
130 10.45141 51477.6384933
131 10.45141 51467.5608464
132 10.45141 51472.086764
133 10.45141 51485.5009618
134 10.45141 51493.424846
135 10.45141 51488.172547
136 10.45141 51476.1093976
137 10.45141 51470.0695883
138 10.45141 51475.7692355
139 10.45141 51486.5060014
140 10.45141 51490.9267052
141 10.45141 51484.9899757
142 10.45141 51475.5451081
143 10.45141 51472.5029327
144 10.45141 51478.4902386
145 10.45141 51486.7122122
146 10.45141 51488.5970153
147 10.45141 51482.6971052
148 10.45141 51475.628325
149 10.45141 51474.6987003
150 10.45141 51480.3970481
151 10.45141 51486.4029817
152 10.45141 51486.5550421
153 10.45141 51481.1399182
154 10.45141 51476.1099504
155 10.45141 51476.5740418
156 10.45141 51481.6455255
157 10.45141 51485.7957958
158 10.45141 51484.8527921
159 10.45141 51480.1645678
160 10.45141 51476.8030236
161 10.45141 51478.1022257
162 10.45141 51482.3846795
163 10.45141 51485.0499166
164 10.45141 51483.4961755
165 10.45141 51479.6293403
166 10.45141 51477.5740744
167 10.45141 51479.2937156
168 10.45141 51482.7475544
169 10.45141 51484.2757462
170 10.45141 51482.4618323
171 10.45141 51479.411189
172 10.45141 51478.3335333
173 10.45141 51480.1814162
174 10.45141 51482.8467887
175 10.45141 51483.544506
176 10.45141 51481.709935
177 10.45141 51479.4083634
178 10.45141 51479.0262973
179 10.45141 51480.8096879
180 10.45141 51482.7734403
181 10.45141 51482.8973537
182 10.45141 51481.1934779
183 10.45141 51479.54039
184 10.45141 51479.6231318
185 10.45141 51481.2265785
186 10.45141 51482.5979452
187 10.45141 51482.3534344
188 10.45141 51480.8646456
189 10.45141 51479.7463969
190 10.45141 51480.113267
191 10.45141 51481.4786782
192 10.45141 51482.372333
193 10.45141 51481.9166344
194 10.45141 51480.6788585
195 10.45141 51479.9825327
196 10.45141 51480.4983222
197 10.45141 51481.6080171
198 10.45141 51482.1330528
199 10.45141 51481.5809981
200 10.45141 51480.5970478
201 10.45141 51480.2190211
202 10.45141 51480.7875366
203 10.45141 51481.6504827
204 10.45141 51481.903961
205 10.45141 51481.3348827
206 10.45141 51480.5866484
207 10.45141 51480.4372171
208 10.45141 51480.9941898
209 10.45141 51481.6353124
210 10.45141 51481.6991736
211 10.45141 51481.1640019
212 10.45141 51480.6217101
213 10.45141 51480.6268955
214 10.45141 51481.1330481
215 10.45141 51481.5852971
216 10.45141 51481.5256131
217 10.45141 51481.0535344
218 10.45141 51480.6824498
219 10.45141 51480.7838957
220 10.45141 51481.2186508
221 10.45141 51481.517413
222 10.45141 51481.3851624
223 10.45141 51480.9894849
224 10.45141 51480.7544886
225 10.45141 51480.9081749
226 10.45141 51481.2642571
227 10.45141 51481.4436719
228 10.45141 51481.2764068
229 10.45141 51480.95947
230 10.45141 51480.8279522
231 10.45141 51481.0022676
232 10.45141 51481.2812878
233 10.45141 51481.3720422
234 10.45141 51481.1959805
235 10.45141 51480.953083
236 10.45141 51480.8965556
237 10.45141 51481.0701219
238 10.45141 51481.27912
239 10.45141 51481.30734
240 10.45141 51481.1395617
241 10.45141 51480.9619682
242 10.45141 51480.9567497
243 10.45141 51481.11626
244 10.45141 51481.2651192
245 10.45141 51481.252034
246 10.45141 51481.102569
247 10.45141 51480.979706
248 10.45141 51481.0069742
249 10.45141 51481.1452093
250 10.45141 51481.2448166
251 10.45141 51481.2069322
252 10.45141 51481.0806172
253 10.45141 51481.0015899
254 10.45141 51481.0470339
255 10.45141 51481.1611461
256 10.45141 51481.2221637
257 10.45141 51481.1717408
258 10.45141 51481.0697876
259 10.45141 51481.0243526
260 10.45141 51481.0776025
261 10.45141 51481.1676999
262 10.45141 51481.1998147
263 10.45141 51481.1455001
264 10.45141 51481.0667591
265 10.45141 51481.0458828
266 10.45141 51481.0998442
267 10.45141 51481.1678744
268 10.45141 51481.1794053
269 10.45141 51481.1269097
270 10.45141 51481.0688451
271 10.45141 51481.064957
272 10.45141 51481.1151389
273 10.45141 51481.164047
274 10.45141 51481.1618063
275 10.45141 51481.1145575
276 10.45141 51481.0739652
277 10.45141 51481.0810025
278 10.45141 51481.1248929
279 10.45141 51481.1580173
280 10.45141 51481.1473421
281 10.45141 51481.1070724
282 10.45141 51481.0805815
283 10.45141 51481.0938984
284 10.45141 51481.1304194
285 10.45141 51481.1510827
286 10.45141 51481.13597
287 10.45141 51481.1032162
288 10.45141 51481.0876152
289 10.45141 51481.1038155
290 10.45141 51481.1328702
291 10.45141 51481.1441253
292 10.45141 51481.1274214
293 10.45141 51481.1019306
294 10.45141 51481.0943593
295 10.45141 51481.111094
296 10.45141 51481.1332062
297 10.45141 51481.1376983
298 10.45141 51481.1213073
299 10.45141 51481.1023528
300 10.55853 51481.1003942
301 10.55853 51481.5746448
302 10.55853 51482.8375604
303 10.55853 51484.0501635
304 10.55853 51484.4171529
305 10.55853 51484.0037226
306 10.55853 51483.6122144
307 10.55853 51483.9157512
308 10.55853 51484.7886305
309 10.55853 51485.5005575
310 10.55853 51485.5113773
311 10.55853 51485.0112213
312 10.55853 51484.67517
313 10.55853 51484.9420716
314 10.55853 51485.5879975
315 10.55853 51486.0064218
316 10.55853 51485.8566704
317 10.55853 51485.3925232
318 10.55853 51485.1604421
